Performance Measure,Mean,Standard Deviation
F1_turn,0.81768787,0.018501597
F1_kick,0.511203,0.17016052
Classification_Accuracy,0.9261347,0.00847427
Global_F1,0.7612642,0.061842613
Recall_kick,0.38507587,0.17129771
Precision_dash,0.9143115,0.010092668
Recall_dash,0.99931777,4.1822487E-4
Precision_kick,0.84963644,0.17252201
Recall_turn,0.6975796,0.027284238
F1_dash,0.9549017,0.0053542005
Precision_turn,0.98855144,0.0038704525

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4
Filter Time (Seconds),0.02,0.005,0.01,0.005,0.005,
Test Time (Minutes),0.9170333333333334,0.9221666666666667,0.9215333333333333,0.9279,0.9171666666666667,
