Performance Measure,Mean,Standard Deviation
F1_turn,0.3792321,0.05179047
F1_kick,0.46465135,0.14637567
Classification_Accuracy,0.81883734,0.022762118
Global_F1,0.58030766,0.042649895
Recall_kick,0.5836693,0.21029225
Precision_dash,0.8145691,0.022390286
Recall_dash,0.99843705,0.0022095952
Precision_kick,0.40115795,0.12519717
Recall_turn,0.23809616,0.040813815
F1_dash,0.89703953,0.013933828
Precision_turn,0.947476,0.040477194

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.279,0.25,0.127,0.118,0.137,0.118,0.144,0.116,0.126,0.117,
Test Time (Minutes),1.2842833333333334,1.24755,1.24375,1.2407,1.2364166666666667,1.2395833333333333,1.23215,1.2314666666666667,1.22555,1.2304666666666666,
