Performance Measure,Mean,Standard Deviation
F1_turn,0.9928061,0.0037774914
F1_kick,0.75735015,0.13428433
Classification_Accuracy,0.99634707,0.0017839135
Global_F1,0.9164783,0.04567569
Recall_kick,0.74743,0.20131424
Precision_dash,0.99876183,0.0010634122
Recall_dash,0.9997965,3.0118434E-4
Precision_kick,0.802374,0.08180313
Recall_turn,0.99260426,0.003274809
F1_dash,0.99927866,5.8349123E-4
Precision_turn,0.99305594,0.008747947

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4
Filter Time (Seconds),0.018,0.012,0.006,0.005,0.006,
Test Time (Minutes),0.9507333333333333,0.9295,0.93455,0.9251333333333334,0.9221833333333334,
