Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.71625346,0.73059356,0.6724387,0.6992127,0.64274806,0.68942875,0.68584406,0.67988664,0.7116041,0.7035398
F1_kick,0.7586207,0.3673469,0.5405406,0.46153846,0.7272727,0.6666667,0.627451,0.22857141,0.26666668,0.7317073
Classification_Accuracy,0.8916038,0.9032258,0.8800419,0.89924103,0.8761504,0.8735784,0.88850546,0.8764015,0.90833557,0.8913686
Global_F1,0.80324125,0.6803939,0.7137851,0.70060545,0.76560885,0.75972414,0.7491358,0.61150426,0.6416281,0.78995353
Recall_kick,0.73333335,0.3,0.625,0.46153846,0.82758623,0.61538464,0.6666667,0.16666667,0.25,0.8333333
Precision_dash,0.87766933,0.89284647,0.8663262,0.8886905,0.86359555,0.85714287,0.87637025,0.86229205,0.8986384,0.87725294
Recall_dash,1.0,0.9996649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_kick,0.78571427,0.47368422,0.47619048,0.46153846,0.6486486,0.72727275,0.5925926,0.36363637,0.2857143,0.65217394
Recall_turn,0.56216216,0.57831323,0.5076253,0.540146,0.4746336,0.53137654,0.5236994,0.5200433,0.55378485,0.5432802
F1_dash,0.93484974,0.9432411,0.92837596,0.94106525,0.9268058,0.9230769,0.9341123,0.9260546,0.9466135,0.93461347
Precision_turn,0.9867173,0.9917355,0.99572647,0.9910714,0.99527186,0.9813084,0.9934211,0.9815951,0.99522674,0.99790794
