Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.3437222,0.40866292,0.38986015,0.41793892,0.35239854,0.34847236,0.37500003,0.35335076,0.5103448,0.40357143
F1_kick,0.70212764,0.47058824,0.52631575,0.56250006,0.6865671,0.79518074,0.7058823,0.39024392,0.2857143,0.66666675
Classification_Accuracy,0.80660254,0.8358481,0.816396,0.8400942,0.8154089,0.79000264,0.8221396,0.79978645,0.8662557,0.82011294
Global_F1,0.64474136,0.59564394,0.6032951,0.6297694,0.6444887,0.67296416,0.6595714,0.54248035,0.5734763,0.6552741
Recall_kick,0.73333335,0.4,0.625,0.6923077,0.79310346,0.84615386,0.75,0.33333334,0.375,0.8333333
Precision_dash,0.7991667,0.8309663,0.80784315,0.83389264,0.80913675,0.7805919,0.8146052,0.7950328,0.859375,0.8142029
Recall_dash,1.0,1.0,1.0,0.9986604,1.0,0.99600583,1.0,0.9949982,1.0,0.9950407
Precision_kick,0.67346936,0.5714286,0.45454547,0.47368422,0.6052632,0.75,0.6666667,0.47058824,0.23076923,0.5555556
Recall_turn,0.20864865,0.2614458,0.24291939,0.26642334,0.21533258,0.21356276,0.23236994,0.219935,0.3439575,0.2574032
F1_dash,0.88837427,0.90768063,0.8937093,0.9088692,0.8945004,0.8752393,0.89783186,0.8838464,0.92436975,0.8955842
Precision_turn,0.9747475,0.9353448,0.9867257,0.96902657,0.96954316,0.94618833,0.9710145,0.8982301,0.9885496,0.9338843
