ftl10_dist,ftr40_dist,fcb_dist,ftr20_dir,fbl20_dir,frb20_dist,fbr40_dir,ftr10_dist,ftr10_dir,fct_dist,ball_dir,fbr20_dist,flt10_dist,ftl10_dir,frb10_dir,fbl10_dir,flb10_dir,fct_dir,fbr50_dir,frb10_dist,ftr30_dir,frt_dir,fc_dir,fplc_dist,flt_dir,fbl30_dir,flt20_dist,fcb_dir,frb_dir,ftl40_dist,flb_dir,frt20_dir,flb20_dist,frt10_dist,fbr30_dir,fplt_dist,fprb_dist,fbr30_dist,flb30_dir,ball_dist,fbl30_dist,fplb_dir,flt30_dist,fbr40_dist,Action,fprb_dir,fbl50_dir,flt20_dir,frb30_dir,frt_dist,fplb_dist,ftl30_dir,fprc_dist,frb_dist,goal_dist,ftr40_dir,fbl10_dist,fbr10_dist,fbr10_dir,frt20_dist,flb10_dist,ftl40_dir,fprc_dir,fprt_dist,fprt_dir,fbl40_dist,fplc_dir,flb_dist,frt30_dist,ftr50_dir,frt10_dir,ftl30_dist,ftr30_dist,fbl40_dir,flt10_dir,flb20_dir,fbr20_dir,flt_dist,frt30_dir,ftl20_dist,ftl50_dir,fbl20_dist,flb30_dist,fbl50_dist,fbr50_dist,fplt_dir,ftl50_dist,frb30_dist,ftr50_dist,goal_dir,frb20_dir,ftr20_dist,flt30_dir,ftl20_dir,fc_dist,
26.3,71.5,.,-20.0,.,95.6,41.0,43.4,-25.0,32.1,36.0,.,.,-43.0,20.0,.,.,-24.0,37.0,91.8,-17.0,-9.0,36.0,.,.,.,.,.,34.0,.,.,1.0,.,87.4,.,.,76.7,.,.,36.6,.,.,.,91.8,0.0,32.0,.,.,30.0,83.1,.,.,68.7,98.5,83.9,-15.0,.,.,.,86.5,.,.,18.0,65.4,1.0,.,.,.,87.4,-13.0,7.0,.,62.2,.,.,.,.,.,-6.0,.,.,.,.,.,99.5,.,.,100.5,81.5,14.0,25.0,52.5,.,.,35.9,
.,.,62.2,.,.,95.6,7.0,.,.,.,2.0,77.5,.,.,-14.0,38.0,.,.,3.0,91.8,.,-43.0,2.0,.,.,.,.,28.0,0.0,.,.,-33.0,.,87.4,11.0,.,76.7,83.9,.,36.6,.,.,.,91.8,0.0,-2.0,.,.,-3.0,83.1,.,.,68.7,98.5,83.9,.,62.8,71.5,23.0,86.5,.,.,-16.0,65.4,-33.0,.,.,.,87.4,.,-27.0,.,.,.,.,.,17.0,.,-40.0,.,.,.,.,.,99.5,.,.,100.5,.,-20.0,-9.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
.,.,62.2,.,.,95.6,5.0,.,.,.,0.0,77.5,.,.,-16.0,36.0,.,.,1.0,91.8,.,.,0.0,.,.,.,.,26.0,-2.0,.,.,-35.0,.,87.4,9.0,.,76.7,83.9,.,36.6,.,.,.,91.8,1.0,-4.0,.,.,-5.0,.,.,.,68.7,98.5,83.9,.,62.8,71.5,21.0,86.5,.,.,-18.0,65.4,-35.0,.,.,.,87.4,.,-29.0,.,.,.,.,.,15.0,.,-42.0,.,.,.,.,.,99.5,.,.,100.5,.,-22.0,-11.0,.,.,.,35.9,
