Performance Measure,Mean,Standard Deviation
F1_turn,0.8066718,0.021823447
F1_kick,0.08226708,0.11738605
Classification_Accuracy,0.9314362,0.012313226
Global_F1,0.615951,0.04427661
Recall_kick,0.049643494,0.07212469
Precision_dash,0.94115365,0.010929334
Recall_dash,0.97759295,0.016155105
Precision_kick,0.31666666,0.43354696
Recall_turn,0.7434782,0.028334593
F1_dash,0.95891416,0.008224109
Precision_turn,0.88586366,0.06297609

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.197,0.11,0.047,0.048,0.047,0.047,0.047,0.047,0.048,0.062,
Test Time (Minutes),1.4621,1.4134666666666666,1.34935,1.3460166666666666,1.3286166666666666,1.3630666666666666,1.4136166666666667,1.3772666666666666,1.3753833333333334,1.3634666666666666,
