Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.48070562,0.4021489,0.45316803,0.50401753,0.48408487,0.48707154,0.43740097,0.47911224,0.44617563,0.47076687
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.7793884,0.8240595,0.8191126,0.8424437,0.8186263,0.8006394,0.8380823,0.8161157,0.81644845,0.8371177
Global_F1,0.44745144,0.43300644,0.44827104,0.47015166,0.45802405,0.45464242,0.44763064,0.45583525,0.44545922,0.4581947
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.8522405,0.8757091,0.8715694,0.8873164,0.86661166,0.8502879,0.87477684,0.86842823,0.86929685,0.8770579
Recall_dash,0.871267,0.91907984,0.9126674,0.9264009,0.9146589,0.9051372,0.9384405,0.90929836,0.91213745,0.9322608
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall_turn,0.46932185,0.35309973,0.40617284,0.45394737,0.42991754,0.43501613,0.36268067,0.43329397,0.40127388,0.4041721
F1_dash,0.86164874,0.89687043,0.8916451,0.90643746,0.88998735,0.8768557,0.905491,0.8883935,0.89020205,0.90381724
Precision_turn,0.49265537,0.46702316,0.51246107,0.56650245,0.5538695,0.5532787,0.5508982,0.5357664,0.50239235,0.56363636
