Performance Measure,Mean,Standard Deviation
F1_turn,0.61941516,0.10884643
F1_kick,0.029696971,0.083805524
Classification_Accuracy,0.81456405,0.017413273
Global_F1,0.50798434,0.0382682
Recall_kick,0.026587302,0.07865756
Precision_dash,0.87740433,0.010295505
Recall_dash,0.8726587,0.02702533
Precision_kick,0.061904766,0.13098845
Recall_turn,0.6265553,0.11435056
F1_dash,0.87484086,0.015532336
Precision_turn,0.6138604,0.109739654

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.199,0.131,0.14,0.048,0.047,0.047,0.047,0.047,0.047,0.047,
Test Time (Minutes),202.34626666666668,187.05288333333334,179.34343333333334,177.73036666666667,174.22818333333333,178.10311666666666,177.3165,177.69101666666666,178.8835,181.81445,
