Performance Measure,Mean,Standard Deviation
F1_turn+,0.84256047,0.023388987
F1_kick,0.06111111,0.1301313
Classification_Accuracy,0.9332814,0.011544841
F1_turn-,0.14492038,0.10603072
Recall_kick,0.052702703,0.11147676
Precision_dash,0.9392519,0.011205326
Recall_turn+,0.78217256,0.027603554
Recall_turn-,0.09288286,0.07575195
Precision_turn+,0.91376245,0.029118631
Precision_turn-,0.4080642,0.15603939
Global_F1,0.5026763,0.051208697
Recall_dash,0.98618585,0.004024825
Precision_kick,0.079166666,0.16011426
F1_dash,0.9621132,0.0063204006

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.213,0.151,0.074,0.099,0.077,0.084,0.108,0.077,0.07,0.097,
Test Time (Minutes),32.32523333333334,31.2213,31.241516666666666,30.950266666666668,30.136483333333334,30.964416666666665,31.933883333333334,31.974533333333333,31.47625,31.408716666666667,
