Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.8248663,0.81725484,0.8315133,0.842647,0.76801056,0.8467433,0.79169863,0.8220516,0.8174048,0.8287292
F1_kick,0.0,0.0,0.0,0.0,0.0,0.08695653,0.25,0.0,0.2857143,0.25
Classification_Accuracy,0.9164213,0.9355711,0.93196815,0.9315572,0.89662397,0.9262389,0.92718226,0.9237833,0.93452793,0.9409175
F1_turn-,0.20143884,0.32989693,0.31506848,0.3380282,0.3048781,0.20202021,0.37956205,0.37086093,0.33644864,0.43037972
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.045454547,0.16666667,0.0,0.1764706,0.16666667
Precision_dash,0.92073333,0.95057833,0.9377484,0.9576412,0.9367783,0.928101,0.9505744,0.94142026,0.94144386,0.9419009
Recall_turn+,0.74247897,0.7846386,0.74233985,0.8081805,0.7535668,0.78,0.78625953,0.76,0.7492877,0.73221755
Recall_turn-,0.14285715,0.20512821,0.25,0.47058824,0.32051283,0.12345679,0.24528302,0.3888889,0.21686748,0.34
Precision_turn+,0.92781955,0.8527005,0.94503546,0.88018435,0.7830189,0.92597765,0.7972136,0.8951368,0.8991453,0.95454544
Precision_turn-,0.34146342,0.84210527,0.42592594,0.26373628,0.29069766,0.5555556,0.83870965,0.35443038,0.75,0.5862069
Global_F1,0.49512058,0.52788675,0.52716726,0.5354105,0.50306076,0.5231097,0.5957856,0.53731585,0.601354,0.6189645
Recall_dash,0.99014205,0.97861975,0.98772323,0.9643156,0.94194484,0.98715705,0.97346103,0.9717627,0.9915517,0.9929438
Precision_kick,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.75,0.5
F1_dash,0.95417714,0.9643953,0.9620873,0.9609668,0.9393545,0.95671856,0.96188164,0.95635086,0.9658483,0.9667491
