Performance Measure,Mean,Standard Deviation
F1_turn+,0.8190919,0.023510354
F1_kick,0.087267086,0.12384518
Classification_Accuracy,0.92647916,0.012526147
F1_turn-,0.3208582,0.07244407
Recall_kick,0.05552585,0.08023047
Precision_dash,0.94069207,0.010883713
Recall_turn+,0.76389694,0.024524346
Recall_turn-,0.27035826,0.10929219
Precision_turn+,0.8860777,0.05908354
Precision_turn-,0.52488315,0.22361325
Global_F1,0.54651755,0.043064017
Recall_dash,0.97796214,0.015916105
Precision_kick,0.275,0.38097098
F1_dash,0.95885295,0.008020622

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.394,0.138,0.067,0.061,0.062,0.07,0.059,0.063,0.077,0.066,
Test Time (Minutes),2.230183333333333,1.4450666666666667,1.4091,1.4072833333333334,1.3971666666666667,1.40445,1.4675,1.4385166666666667,1.4422166666666667,1.43485,
