Performance Measure,Mean,Standard Deviation
F1_turn+,0.5615864,0.042704944
F1_kick,0.0,0.0
Classification_Accuracy,0.85519487,0.024481663
F1_turn-,0.031007662,0.028808134
Recall_kick,0.0,0.0
Precision_dash,0.878284,0.013630525
Recall_turn+,0.47486916,0.046344515
Recall_turn-,0.01677074,0.015504151
Precision_turn+,0.69597477,0.07900959
Precision_turn-,0.25824174,0.2829319
Global_F1,0.37690014,0.013018177
Recall_dash,0.955126,0.023868514
Precision_kick,0.0,0.0
F1_dash,0.91500646,0.016520053

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.293,0.164,0.147,0.064,0.065,0.07,0.072,0.072,0.063,0.064,
Test Time (Minutes),238.07121666666666,245.97726666666668,243.8963,241.50228333333334,236.88938333333334,240.25258333333332,245.40871666666666,242.64636666666667,241.24265,240.22195,
