Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.78947365,0.70092875,0.81985813,0.77382463,0.7691366,0.7833997,0.74864864,0.7785888,0.8321168,0.81598794
F1_kick,0.0,0.0,0.0,0.0,0.0,0.19354838,0.13333333,0.0,0.16666667,0.29999998
Classification_Accuracy,0.9012458,0.8733949,0.9124005,0.89320165,0.8677532,0.8917561,0.9004975,0.8774105,0.93200094,0.92724746
F1_turn-,0.15384616,0.34645668,0.33175355,0.2857143,0.21259843,0.18543048,0.4673913,0.28015563,0.39999998,0.39694655
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.13636364,0.16666667,0.0,0.1764706,0.5
Precision_dash,0.92952275,0.962822,0.9518072,0.969327,0.95049506,0.9433795,0.96410257,0.9576864,0.95760596,0.9501661
Recall_turn+,0.7400722,0.85240966,0.80501395,0.8589563,0.8145266,0.81058824,0.84580153,0.82580644,0.8119658,0.75453275
Recall_turn-,0.14285715,0.2820513,0.38043478,0.49019608,0.34615386,0.17283951,0.4056604,0.5,0.33734939,0.52
Precision_turn+,0.8459422,0.595163,0.8352601,0.70404625,0.7285383,0.7579758,0.67151517,0.7364787,0.8532934,0.88834155
Precision_turn-,0.16666667,0.4489796,0.29411766,0.2016129,0.1534091,0.2,0.55128205,0.19459459,0.49122807,0.32098764
Global_F1,0.47331753,0.4931078,0.52535576,0.49922597,0.47547722,0.5252286,0.5734913,0.49631622,0.5910367,0.6180659
Recall_dash,0.971296,0.89012176,0.94782364,0.9074435,0.89172715,0.933742,0.925855,0.8973189,0.973247,0.9686706
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.33333334,0.11111111,0.0,0.15789473,0.21428572
F1_dash,0.94995034,0.9250457,0.9498113,0.937365,0.92017376,0.93853605,0.9445918,0.92652047,0.96536314,0.9593291
