Performance Measure,Mean,Standard Deviation
F1_turn+,0.78119636,0.038123
F1_kick,0.07935484,0.11057658
Classification_Accuracy,0.8976908,0.021707363
F1_turn-,0.30602932,0.101623215
Recall_kick,0.097950086,0.1604066
Precision_dash,0.9536915,0.011470583
Recall_turn+,0.8119674,0.03902173
Recall_turn-,0.35775426,0.13062409
Precision_turn+,0.76165545,0.09302136
Precision_turn-,0.30228785,0.1462059
Global_F1,0.5270623,0.050507326
Recall_dash,0.9307245,0.03341096
Precision_kick,0.08166249,0.11907901
F1_dash,0.9416687,0.014955152

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.205,0.127,0.074,0.066,0.066,0.066,0.075,0.065,0.071,0.065,
Test Time (Minutes),1.20475,1.1645,1.2117,1.25305,1.2786333333333333,1.2457166666666666,1.2931166666666667,1.3051833333333334,1.2501166666666668,1.2092166666666666,
