Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.8913649,0.8355957,0.8832292,0.8754717,0.85134155,0.89677954,0.88049453,0.86478734,0.8732008,0.84031934
F1_kick,0.0,0.6428572,0.22222224,0.375,0.0,0.0,0.0,0.0,0.1971831,0.0
Classification_Accuracy,0.9172755,0.9254022,0.9218638,0.9389427,0.92301905,0.92275184,0.93771625,0.9109409,0.93105173,0.9437186
F1_turn-,0.65567756,0.43999997,0.6091954,0.58536583,0.4888889,0.6581197,0.3624161,0.65682656,0.49122807,0.26923075
Recall_kick,0.0,0.5294118,0.27272728,0.375,0.0,0.0,0.0,0.0,0.11111111,0.0
Precision_dash,0.93480474,0.94414735,0.9370861,0.951049,0.93630177,0.9333796,0.9435557,0.92837656,0.94890285,0.95212156
Recall_turn+,0.86564475,0.8135095,0.8556797,0.8491947,0.818689,0.8722892,0.83246756,0.8402971,0.8448276,0.78252786
Recall_turn-,0.59468436,0.32352942,0.5145631,0.46153846,0.37078652,0.5641026,0.24545455,0.55625,0.4375,0.18181819
Precision_turn+,0.9186603,0.85891473,0.9126117,0.90342677,0.88670695,0.9226848,0.93440235,0.890748,0.9035461,0.9073276
Precision_turn-,0.7306122,0.6875,0.74647886,0.8,0.7173913,0.7897436,0.6923077,0.8018018,0.56,0.5185185
Global_F1,0.6254462,0.72037077,0.6679245,0.70065314,0.57446307,0.6282618,0.55208033,0.6191335,0.63264054,0.5197609
Recall_dash,0.9755493,0.98268396,0.9778853,0.98302954,0.9799353,0.9842664,0.98830223,0.9830264,0.9898627,0.98751116
Precision_kick,0.0,0.8181818,0.1875,0.375,0.0,0.0,0.0,0.0,0.875,0.0
F1_dash,0.9547425,0.96303034,0.95705116,0.9667749,0.95762175,0.9581479,0.96541077,0.9549202,0.9689501,0.96949357
