Performance Measure,Mean,Standard Deviation
F1_turn+,0.8692585,0.020905448
F1_kick,0.14372626,0.21999544
Classification_Accuracy,0.9272683,0.010370705
F1_turn-,0.5216949,0.1351215
Recall_kick,0.12882502,0.19484149
Precision_dash,0.9409725,0.008142829
Recall_turn+,0.8375127,0.026890427
Recall_turn-,0.4250227,0.14122128
Precision_turn+,0.9039029,0.021295197
Precision_turn-,0.7044354,0.096822634
Global_F1,0.62407345,0.06298418
Recall_dash,0.9832052,0.0045693475
Precision_kick,0.22556818,0.34992343
F1_dash,0.9616143,0.0057711783

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.205,0.249,0.051,0.122,0.053,0.052,0.048,0.051,0.049,0.053,
Test Time (Minutes),23.327333333333332,23.797366666666665,23.612216666666665,22.87885,22.678883333333335,24.640216666666667,24.310716666666668,23.94955,24.1755,24.0718,
