Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.6568471,0.6965174,0.751604,0.6720978,0.6585067,0.73495525,0.78058016,0.59451103,0.7542044,0.7138158
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.76290363,0.8759142,0.8487455,0.84437823,0.8287362,0.82883304,0.8868018,0.7196553,0.8818386,0.8907035
F1_turn-,0.35964912,0.2311558,0.30612245,0.23411371,0.34027776,0.14328359,0.34653464,0.2304348,0.424,0.4044944
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.86778396,0.92022705,0.89926374,0.93641996,0.92260695,0.85377663,0.945232,0.8652932,0.9368728,0.9621402
Recall_turn+,0.7439134,0.7195301,0.7635009,0.7247438,0.7503487,0.6915663,0.8038961,0.71402043,0.7732096,0.80669147
Recall_turn-,0.27242523,0.13529412,0.2184466,0.22435898,0.2752809,0.08791209,0.3181818,0.165625,0.4140625,0.46753246
Precision_turn+,0.5880256,0.6749311,0.7400722,0.62658226,0.58669573,0.784153,0.7585784,0.5092715,0.7361111,0.640118
Precision_turn-,0.52903223,0.79310346,0.5113636,0.24475524,0.44545454,0.38709676,0.38043478,0.37857142,0.43442622,0.35643566
Global_F1,0.465673,0.4659253,0.49284035,0.45634967,0.47484523,0.44636473,0.515862,0.4125467,0.5299505,0.5139883
Recall_dash,0.8256556,0.95238096,0.9284727,0.902577,0.8796117,0.967801,0.9276004,0.7887324,0.9463702,0.9143622
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1_dash,0.8461958,0.936028,0.91363484,0.9191871,0.90059644,0.90722007,0.93633324,0.82524097,0.9415975,0.937643
