Performance Measure,Mean,Standard Deviation
F1_turn+,0.7013639,0.056755662
F1_kick,0.0,0.0
Classification_Accuracy,0.836851,0.05624976
F1_turn-,0.30200663,0.08951596
Recall_kick,0.0,0.0
Precision_dash,0.9109616,0.037552275
Recall_turn+,0.74914205,0.038216926
Recall_turn-,0.25791195,0.11907225
Precision_turn+,0.66445386,0.089533135
Precision_turn-,0.4460674,0.14629422
Global_F1,0.47743458,0.03606468
Recall_dash,0.90335643,0.057239186
Precision_kick,0.0,0.0
F1_dash,0.90636766,0.040069852

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.195,0.106,0.057,0.056,0.049,0.06,0.058,0.06,0.055,0.051,
Test Time (Minutes),1.01985,1.1103833333333333,1.0851,1.0591833333333334,1.0546,1.16475,1.1510666666666667,1.1217166666666667,1.1298333333333332,1.5610333333333333,
