Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.7842435,0.6281645,0.7476008,0.6059513,0.5985185,0.79388684,0.68224984,0.70735365,0.6916851,0.58863634
F1_kick,0.0,0.0,0.0,0.46153846,0.0,0.0,0.0,0.0,0.089552246,0.0
Classification_Accuracy,0.85458404,0.8459288,0.8458781,0.84785306,0.8156971,0.8570087,0.85714287,0.8194877,0.85086185,0.8798995
F1_turn-,0.48510638,0.25589225,0.4010989,0.32276657,0.3054755,0.41363636,0.2542373,0.47974068,0.29370633,0.073529415
Recall_kick,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.04761905,0.0
Precision_dash,0.89446896,0.8947524,0.8921341,0.88670385,0.87758946,0.8909465,0.89461005,0.86815417,0.8933869,0.904722
Recall_turn+,0.78990084,0.5829662,0.7253259,0.4919473,0.56345886,0.77188754,0.60649353,0.65645313,0.62334216,0.48141265
Recall_turn-,0.37873754,0.22352941,0.35436893,0.35897437,0.2977528,0.33333334,0.27272728,0.4625,0.328125,0.064935066
Precision_turn+,0.7786667,0.68096054,0.77128714,0.7887324,0.6382306,0.8171769,0.77963275,0.76681125,0.7768595,0.7573099
Precision_turn-,0.6745562,0.2992126,0.4620253,0.29319373,0.31360948,0.5449102,0.23809524,0.4983165,0.2658228,0.084745765
Global_F1,0.5458,0.45003623,0.5147016,0.57680976,0.44875184,0.531833,0.46322417,0.52097476,0.49839908,0.39875954
Recall_dash,0.9340893,0.9384663,0.9288182,0.94940287,0.90485436,0.9506037,0.93929815,0.9274106,0.94538915,0.9628308
Precision_kick,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.75,0.0
F1_dash,0.91384995,0.91608816,0.91010666,0.9169828,0.8910134,0.9198088,0.9164096,0.8968046,0.91865265,0.93287235
