Performance Measure,Mean,Standard Deviation
F1_turn+,0.682829,0.07628402
F1_kick,0.055109072,0.14555155
Classification_Accuracy,0.8474342,0.018546967
F1_turn-,0.328519,0.12359815
Recall_kick,0.042261906,0.11786616
Precision_dash,0.88974684,0.010214111
Recall_turn+,0.62931883,0.107422344
Recall_turn-,0.3074984,0.10657903
Precision_turn+,0.7555668,0.053926278
Precision_turn-,0.3674488,0.17382252
Global_F1,0.494929,0.053889856
Recall_dash,0.93811625,0.015889134
Precision_kick,0.135,0.2867926
F1_dash,0.9132589,0.011852683

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.196,0.146,0.113,0.05,0.032,0.031,0.046,0.032,0.032,0.031,
Test Time (Minutes),192.58193333333332,185.68445,194.81488333333334,182.12408333333335,170.16918333333334,174.55373333333333,174.44946666666667,173.36615,173.9491,176.03653333333332,
