Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.6674622,0.63918835,0.618865,0.640801,0.5361328,0.69254524,0.7027972,0.60388863,0.61052626,0.6350575
F1_kick,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.086956516,0.0,0.0
Classification_Accuracy,0.75677586,0.8427596,0.7371565,0.80466616,0.71790373,0.8093449,0.8250124,0.7093608,0.76417685,0.8366834
F1_turn-,0.5412131,0.48120302,0.5411765,0.38709676,0.42260444,0.3529412,0.3782235,0.5373134,0.40771347,0.3870968
Recall_kick,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0
Precision_dash,0.880609,0.9295367,0.89154637,0.94895756,0.9240979,0.8623699,0.9504986,0.87703836,0.9413629,0.970548
Recall_turn+,0.75653744,0.7400881,0.75139666,0.74963397,0.7656904,0.6305221,0.7831169,0.73537606,0.8076923,0.82156134
Recall_turn-,0.5780731,0.3764706,0.55825245,0.5769231,0.48314607,0.34065935,0.6,0.5625,0.578125,0.7012987
Precision_turn+,0.597153,0.5625,0.5260756,0.55956286,0.41247183,0.76810175,0.6374207,0.51228976,0.49073327,0.5175644
Precision_turn-,0.50877196,0.6666667,0.5251142,0.29126215,0.37554586,0.36614174,0.2761506,0.51428574,0.3148936,0.26732674
Global_F1,0.5088255,0.50786513,0.52102184,0.47830242,0.44219297,0.48624906,0.4937521,0.50453866,0.46738687,0.48106778
Recall_dash,0.77888024,0.893321,0.74706286,0.82966685,0.7210356,0.93999267,0.84381914,0.718671,0.77697843,0.84269994
Precision_kick,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.083333336,0.0,0.0
F1_dash,0.8266266,0.91106915,0.81293476,0.88531184,0.8100346,0.8995098,0.89398766,0.7899961,0.85130775,0.90211684
