Performance Measure,Mean,Standard Deviation
F1_turn+,0.6347264,0.0478587
F1_kick,0.019806763,0.042142663
Classification_Accuracy,0.78038394,0.049572732
F1_turn-,0.44365826,0.07442568
Recall_kick,0.01818182,0.03833064
Precision_dash,0.91765654,0.037060298
Recall_turn+,0.7541615,0.051909175
Recall_turn-,0.5355449,0.107618414
Precision_turn+,0.55838734,0.095714524
Precision_turn-,0.41061598,0.13510594
Global_F1,0.4891202,0.023288481
Recall_dash,0.8092127,0.07356757
Precision_kick,0.022619048,0.049706243
F1_dash,0.85828954,0.045351796

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.205,0.105,0.12,0.06,0.058,0.055,0.065,0.056,0.064,0.067,
Test Time (Minutes),0.8421333333333333,0.9663166666666667,0.9948,0.91925,0.9157,1.00615,0.9876166666666667,1.0302333333333333,1.0672166666666667,1.029,
