Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.6333333,0.76862746,0.8187919,0.86163515,0.75280887,0.6265061,0.86343616,0.77483445,0.8289855,0.79738563
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.89271885,0.92896175,0.9287682,0.9496032,0.9431773,0.91368586,0.9470796,0.9446859,0.9533864,0.92928886
F1_turn-,0.66540647,0.67432946,0.686217,0.8218029,0.8108108,0.7595356,0.81862754,0.8020833,0.8896672,0.8173077
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.9220308,0.94329435,0.9432234,0.95813954,0.95692027,0.941041,0.9535532,0.959276,0.95915425,0.9411765
Recall_turn+,0.5555556,0.6975089,0.75,0.8154762,0.68367344,0.537931,0.80991733,0.7452229,0.79444444,0.72619045
Recall_turn-,0.6006826,0.58278143,0.62566847,0.7596899,0.76704544,0.7435065,0.7522523,0.73333335,0.8246753,0.7703928
Precision_turn+,0.7364341,0.8558952,0.9014778,0.91333336,0.8375,0.75,0.9245283,0.80689657,0.8666667,0.884058
Precision_turn-,0.7457627,0.8,0.75974023,0.89497715,0.85987264,0.77627116,0.89784944,0.88505745,0.9657795,0.87030715
Global_F1,0.5610317,0.60176957,0.61634547,0.663784,0.633301,0.5857936,0.6628436,0.636959,0.67295915,0.6436337
Recall_dash,0.96995705,0.985889,0.97815764,0.98564595,0.98258823,0.97378457,0.98559767,0.98284656,0.9876299,0.9792615
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1_dash,0.94538695,0.96412146,0.960373,0.97169816,0.9695844,0.9571328,0.9693107,0.97091824,0.9731838,0.9598414
