Performance Measure,Mean,Standard Deviation
F1_turn+,0.7726345,0.083836414
F1_kick,0.0,0.0
Classification_Accuracy,0.9331356,0.018776627
F1_turn-,0.77457875,0.07550821
Recall_kick,0.0,0.0
Precision_dash,0.94778097,0.011919413
Recall_turn+,0.7115921,0.09754027
Recall_turn-,0.7160028,0.08223253
Precision_turn+,0.84767896,0.06544338
Precision_turn-,0.8455618,0.071653076
Global_F1,0.6278421,0.036451522
Recall_dash,0.9811357,0.005787339
Precision_kick,0.0,0.0
F1_dash,0.9641551,0.00865822

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.376,0.329,0.115,0.113,0.117,0.096,0.095,0.117,0.094,0.104,
Test Time (Minutes),21.35471666666667,20.513016666666665,20.433366666666668,20.165016666666666,20.190583333333333,21.5197,20.39545,20.916933333333333,19.9385,19.891683333333333,
