Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.38842976,0.43654826,0.43596733,0.41841003,0.41947567,0.40145987,0.44692737,0.42465752,0.37151706,0.45454547
F1_kick,0.0,0.0,0.0,0.25,0.0,0.08695652,0.33333334,0.0,0.0,0.0
Classification_Accuracy,0.8353989,0.8348946,0.88547814,0.91150796,0.9107643,0.87519443,0.8490788,0.9028052,0.88605577,0.8967457
F1_turn-,0.39243498,0.39923227,0.56,0.6885246,0.63350785,0.6493109,0.52566093,0.6756757,0.7147651,0.682243
Recall_kick,0.0,0.0,0.0,0.25,0.0,0.04761905,0.25,0.0,0.0,0.0
Precision_dash,0.9260992,0.94109124,0.94212216,0.9549675,0.9454955,0.9460878,0.9522863,0.9588344,0.9384319,0.9389423
Recall_turn+,0.5497076,0.30604982,0.32786885,0.29761904,0.2857143,0.37931034,0.3305785,0.39490446,0.33333334,0.35714287
Recall_turn-,0.28327644,0.68874174,0.6363636,0.73255813,0.6875,0.6883117,0.7612613,0.71428573,0.6915584,0.6616314
Precision_turn+,0.3003195,0.76106197,0.6504065,0.70422536,0.7887324,0.42635658,0.6896552,0.45925927,0.41958043,0.625
Precision_turn-,0.63846153,0.28108108,0.5,0.6494845,0.5873786,0.6144928,0.40142518,0.64102566,0.7395833,0.70418006
Global_F1,0.4289824,0.4411348,0.4884268,0.5815758,0.50478786,0.52084094,0.5604242,0.5150694,0.50949734,0.5248922
Recall_dash,0.944206,0.91674507,0.97388417,0.98421055,0.9877647,0.9451859,0.91982716,0.961057,0.9653637,0.9878604
Precision_kick,0.0,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.0
F1_dash,0.9350649,0.9287587,0.9577399,0.9693685,0.966168,0.9456366,0.93577534,0.9599445,0.9517073,0.9627804
