Performance Measure,Mean,Standard Deviation
F1_turn+,0.41979384,0.02616689
F1_kick,0.067028984,0.123037346
Classification_Accuracy,0.8787924,0.029429307
F1_turn-,0.5921355,0.11876747
Recall_kick,0.054761905,0.10396522
Precision_dash,0.9444358,0.009444073
Recall_turn+,0.3562229,0.07628543
Recall_turn-,0.6545489,0.1350021
Precision_turn+,0.58245975,0.16762082
Precision_turn-,0.5757113,0.14203256
Global_F1,0.5075632,0.04686909
Recall_dash,0.9586104,0.026437208
Precision_kick,0.125,0.21245915
F1_dash,0.9512943,0.01430024

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.122,0.093,0.043,0.044,0.044,0.042,0.042,0.043,0.05,0.044,
Test Time (Minutes),0.5627166666666666,0.5737666666666666,0.5610666666666667,0.5684166666666667,0.5434666666666667,0.5608333333333333,0.54975,0.5932666666666667,0.5564333333333333,0.5757666666666666,
