Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.56992084,0.7323944,0.7168317,0.6847457,0.6230367,0.5691906,0.6990654,0.6352357,0.58239275,0.680307
F1_kick,0.0,0.0,0.0,0.1,0.0,0.080000006,0.26666668,0.21052633,0.0,0.0
Classification_Accuracy,0.89814097,0.85323966,0.9031877,0.93095237,0.89435774,0.8592535,0.8443748,0.8988542,0.8936255,0.897951
F1_turn-,0.7545126,0.45783132,0.68361586,0.76984125,0.6483791,0.65882355,0.5746753,0.71662766,0.7773851,0.7338583
Recall_kick,0.0,0.0,0.0,0.25,0.0,0.04761905,0.5,0.2857143,0.0,0.0
Precision_dash,0.9479167,0.95214105,0.9526769,0.9619897,0.95343256,0.9581205,0.9649218,0.9688716,0.95367575,0.95503324
Recall_turn+,0.6315789,0.64768684,0.7418033,0.60119045,0.60714287,0.7517241,0.77272725,0.81528664,0.71666664,0.7916667
Recall_turn-,0.7133106,0.7549669,0.64705884,0.751938,0.7386364,0.72727275,0.7972973,0.7285714,0.71428573,0.7039275
Precision_turn+,0.5192308,0.8425926,0.6934866,0.79527557,0.63978493,0.4579832,0.63822526,0.5203252,0.4904943,0.59641254
Precision_turn-,0.8007663,0.32853025,0.7245509,0.7886179,0.5777778,0.60215056,0.44923857,0.7050691,0.85271317,0.76644737
Global_F1,0.56893206,0.5274275,0.58748686,0.6314802,0.553833,0.55826586,0.612236,0.62700856,0.5762809,0.5910858
Recall_dash,0.9546972,0.88899344,0.9463438,0.98086125,0.93458825,0.89418495,0.85837734,0.9235049,0.93715984,0.94537175
Precision_kick,0.0,0.0,0.0,0.0625,0.0,0.25,0.18181819,0.16666667,0.0,0.0
F1_dash,0.95129484,0.9194843,0.9494997,0.9713338,0.9439164,0.92504936,0.90853655,0.94564444,0.9453457,0.9501779
