Performance Measure,Mean,Standard Deviation
F1_turn+,0.6493121,0.061682288
F1_kick,0.0657193,0.09924279
Classification_Accuracy,0.8873938,0.026669668
F1_turn-,0.67755497,0.09955656
Recall_kick,0.108333334,0.17608051
Precision_dash,0.956878,0.0065161656
Recall_turn+,0.70774734,0.07950359
Recall_turn-,0.7277266,0.039087385
Precision_turn+,0.61938107,0.12912357
Precision_turn-,0.65958625,0.16846466
Global_F1,0.5834037,0.033365916
Recall_dash,0.9264083,0.03617824
Precision_kick,0.06609849,0.09635109
F1_dash,0.9410283,0.018265871

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.139,0.087,0.053,0.048,0.047,0.043,0.045,0.044,0.043,0.042,
Test Time (Minutes),0.45653333333333335,0.44435,0.43423333333333336,0.43015,0.4246333333333333,0.4519666666666667,0.4554666666666667,0.47756666666666664,0.4479166666666667,0.45111666666666667,
