Performance Measure,Cycle0,Cycle1,Cycle2
F1_turn,0.4543269,0.73051226,0.6339581
F1_kick,0.34782612,0.17142858,0.3125
Classification_Accuracy,0.640367,0.86846274,0.82024574
Global_F1,0.5121432,0.60593635,0.6098261
Recall_kick,0.26666668,0.27272728,0.45454547
Precision_dash,0.8024055,0.91221374,0.88458806
Recall_dash,0.6768116,0.91955227,0.88145787
Precision_kick,0.5,0.125,0.23809524
Recall_turn,0.55317074,0.7161572,0.6339581
F1_dash,0.73427665,0.9158683,0.88302016
Precision_turn,0.38545206,0.74545455,0.6339581
