Performance Measure,Mean,Standard Deviation
F1_turn,0.6062657,0.14015968
F1_kick,0.27725157,0.093332
Classification_Accuracy,0.7763584,0.12021434
Global_F1,0.57596856,0.05530858
Recall_kick,0.33131313,0.10676534
Precision_dash,0.8664024,0.057118315
Recall_dash,0.82594055,0.1305465
Precision_kick,0.28769842,0.19235802
Recall_turn,0.6344287,0.08149425
F1_dash,0.8443883,0.09676359
Precision_turn,0.58828825,0.18429528

,Cycle0,Cycle1,Cycle2
Filter Time (Seconds),0.107,0.047,0.05,
Test Time (Minutes),0.18911666666666666,0.2122,0.21276666666666666,
