Performance Measure,Mean,Standard Deviation
F1_turn,0.43993038,0.020459471
F1_kick,0.28205127,0.036261883
Classification_Accuracy,0.63565886,0.017408503
Global_F1,0.48473105,6.566479E-5
Recall_kick,0.17424244,0.010713739
Precision_dash,0.81442857,0.015045919
Recall_dash,0.6658753,0.036474474
Precision_kick,0.7777778,0.31426966
Recall_turn,0.5604048,0.022647904
F1_dash,0.73221153,0.015999366
Precision_turn,0.36355093,0.03731568

,Cycle0,Cycle1
Filter Time (Seconds),0.052,0.018,
Test Time (Minutes),0.31143333333333334,0.3001333333333333,
