Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.7672414,0.8035982,0.7974771,0.82193726,0.8453473,0.8263971,0.8159204,0.8287581,0.8221289,0.8389892
F1_kick,0.086956516,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.4
Classification_Accuracy,0.90917325,0.9409777,0.93424344,0.9409738,0.94481957,0.92943597,0.9391678,0.9391644,0.93935215,0.9476367
Global_F1,0.600282,0.5897508,0.5861191,0.5956606,0.6039763,0.59452415,0.64878607,0.59732634,0.59562236,0.7360585
Recall_kick,0.054054055,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.33333334
Precision_dash,0.91323096,0.9466979,0.9362096,0.9492988,0.94359964,0.9307777,0.94907165,0.9414488,0.9441898,0.94937736
Recall_dash,0.98260367,0.98538566,0.98688614,0.98132145,0.99071115,0.98511386,0.978933,0.98602396,0.98620105,0.98983914
Precision_kick,0.22222222,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.5
Recall_turn,0.6706136,0.722372,0.7024691,0.7592105,0.7597173,0.74650913,0.7542707,0.7485242,0.7477707,0.7574967
F1_dash,0.94664806,0.9656544,0.9608802,0.96504456,0.96658164,0.95717525,0.96377105,0.96322095,0.9647383,0.9691861
Precision_turn,0.8964029,0.9054054,0.9222042,0.8959627,0.9527326,0.92543274,0.8885449,0.9282577,0.91290826,0.94012946
