Performance Measure,Mean,Standard Deviation
F1_turn,0.81677943,0.022611896
F1_kick,0.06536232,0.13022071
Classification_Accuracy,0.93649447,0.010839235
Global_F1,0.61481065,0.046052124
Recall_kick,0.05540541,0.11111213
Precision_dash,0.9403901,0.011297227
Recall_dash,0.98530185,0.003611958
Precision_kick,0.08888889,0.16604823
Recall_turn,0.73689544,0.029590577
F1_dash,0.96229,0.006383608
Precision_turn,0.9167981,0.020720338

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.234,0.148,0.136,0.063,0.059,0.072,0.059,0.074,0.071,0.065,
Test Time (Minutes),35.492733333333334,32.686083333333336,31.544733333333333,31.415416666666665,30.968633333333333,31.702066666666667,32.94323333333333,32.082033333333335,31.539033333333332,31.549566666666667,
