Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.8061161,0.80494905,0.80445373,0.81515956,0.75,0.82423514,0.80638444,0.80602634,0.8289191,0.82047474
F1_kick,0.0,0.0,0.0,0.0,0.0,0.08695653,0.2857143,0.0,0.2,0.25
Classification_Accuracy,0.9227633,0.9391755,0.9360637,0.93500227,0.9015134,0.92943597,0.936228,0.92837465,0.94233865,0.9434662
Global_F1,0.5867644,0.58982426,0.5888769,0.5920386,0.56296456,0.622727,0.6847468,0.5873938,0.66501075,0.67916316
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.045454547,0.16666667,0.0,0.11764706,0.16666667
Precision_dash,0.92073333,0.9508283,0.93892723,0.95789474,0.9367235,0.9286107,0.9510826,0.9423823,0.9419476,0.9424056
Recall_dash,0.99014205,0.97861975,0.98660713,0.9640368,0.941074,0.98715705,0.97346103,0.97033656,0.9915517,0.9929438
Precision_kick,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666667,0.5
Recall_turn,0.7093649,0.745283,0.71358025,0.80657893,0.74204946,0.73791623,0.7634691,0.7579693,0.73757964,0.7209909
F1_dash,0.95417714,0.96452385,0.96217686,0.96095604,0.9388937,0.9569893,0.9621417,0.9561552,0.96611327,0.9670148
Precision_turn,0.93342775,0.875,0.9218501,0.8239247,0.75812274,0.93342394,0.8544118,0.8605898,0.9460784,0.9518072
