Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.71803856,0.70150435,0.7115942,0.7464259,0.7551979,0.73880595,0.70479137,0.7316076,0.7271397,0.7193378
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.8847112,0.91507095,0.90944254,0.9209922,0.9147846,0.8997488,0.91248304,0.90886134,0.9113255,0.9128823
Global_F1,0.5492332,0.5507489,0.55267024,0.5665876,0.567878,0.5592129,0.55120826,0.558927,0.5583227,0.55607367
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.9063619,0.92368555,0.9166013,0.9284016,0.92143446,0.9038358,0.92028797,0.91619813,0.9201803,0.9222163
Recall_dash,0.9541896,0.9794317,0.9782366,0.9796487,0.9770682,0.97664917,0.97920656,0.9760411,0.97718954,0.97713804
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall_turn,0.66200215,0.59703505,0.60617286,0.6526316,0.6631331,0.6380236,0.5992116,0.6340024,0.633121,0.62320733
F1_dash,0.92966104,0.95074224,0.94641656,0.9533369,0.9484362,0.93883276,0.94883347,0.9451733,0.9478285,0.9488831
Precision_turn,0.7844388,0.8502879,0.8614035,0.87170476,0.87694705,0.8774003,0.85553473,0.8647343,0.8539519,0.8505338
