Performance Measure,Mean,Standard Deviation
F1_turn,0.7254444,0.017727952
F1_kick,0.0,0.0
Classification_Accuracy,0.9090303,0.010124113
Global_F1,0.5570863,0.006438496
Recall_kick,0.0,0.0
Precision_dash,0.9179203,0.0076105967
Recall_dash,0.9754801,0.00758388
Precision_kick,0.0,0.0
Recall_turn,0.630854,0.024416432
F1_dash,0.94581443,0.006837655
Precision_turn,0.8546937,0.026707755

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.275,0.191,0.173,0.064,0.065,0.073,0.078,0.063,0.064,0.082,
Test Time (Minutes),58.115883333333336,59.82888333333333,57.8077,57.631616666666666,55.27595,59.15936666666666,57.65225,55.8815,55.52916666666667,55.23543333333333,
