Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.8281615,0.82481754,0.9070815,0.84260356,0.8272369,0.9168399,0.8610451,0.9203142,0.8847059,0.8174807
F1_kick,0.4347826,0.44444448,0.57142854,0.18181819,0.22222224,0.79999995,0.6666667,0.3529412,0.5227273,0.0
Classification_Accuracy,0.87673813,0.92930275,0.9445639,0.93323404,0.9215146,0.94317913,0.94191796,0.94780946,0.9485386,0.9464824
Global_F1,0.72272545,0.74228734,0.81330174,0.66101664,0.66635174,0.89131147,0.83038694,0.7452753,0.79314995,0.5955652
Recall_kick,0.45454547,0.3529412,0.54545456,0.125,0.33333334,0.75,0.6666667,0.27272728,0.36507937,0.0
Precision_dash,0.93570346,0.94816613,0.94256306,0.959685,0.9480645,0.93203884,0.9521457,0.9416235,0.9563291,0.96030354
Recall_dash,0.8766832,0.9672232,0.9809952,0.95757383,0.9511327,0.9835346,0.9750237,0.9844709,0.9882276,0.9782932
Precision_kick,0.41666666,0.6,0.6,0.33333334,0.16666667,0.85714287,0.6666667,0.5,0.92,0.0
Recall_turn,0.88014185,0.7967098,0.865625,0.8486293,0.82122904,0.8715415,0.8238636,0.8804581,0.8526077,0.77560973
F1_dash,0.9052323,0.95759994,0.9613952,0.9586283,0.94959617,0.95709455,0.96344894,0.9625706,0.9720167,0.9692149
Precision_turn,0.78197855,0.85498106,0.9527085,0.83666277,0.8333333,0.96710527,0.90174127,0.96394986,0.9193154,0.86413044
