Performance Measure,Mean,Standard Deviation
F1_turn,0.8630288,0.040879816
F1_kick,0.41970316,0.23951028
Classification_Accuracy,0.93332815,0.021780148
Global_F1,0.74613726,0.08928213
Recall_kick,0.3865748,0.22988953
Precision_dash,0.94766223,0.009715696
Recall_dash,0.9643159,0.033070244
Precision_kick,0.5060476,0.28813508
Recall_turn,0.8416416,0.03611569
F1_dash,0.9556799,0.018817674
Precision_turn,0.8875906,0.06316251

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.258,0.153,0.072,0.087,0.085,0.074,0.09,0.076,0.058,0.069,
Test Time (Minutes),2.8397166666666664,3.047633333333333,3.163883333333333,3.133016666666667,3.0765166666666666,3.3257666666666665,3.2673,3.2085666666666666,3.3060666666666667,3.237033333333333,
