Performance Measure,Mean,Standard Deviation
F1_turn,0.7422233,0.043352056
F1_kick,0.0,0.0
Classification_Accuracy,0.8629543,0.042494703
Global_F1,0.5494091,0.023360688
Recall_kick,0.0,0.0
Precision_dash,0.9120534,0.0372394
Recall_dash,0.901625,0.057767205
Precision_kick,0.0,0.0
Recall_turn,0.7610446,0.03714251
F1_dash,0.90600395,0.04001256
Precision_turn,0.73194313,0.09511406

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.193,0.105,0.116,0.054,0.052,0.052,0.054,0.062,0.06,0.059,
Test Time (Minutes),1.0508333333333333,1.1490666666666667,1.1239,1.1063833333333333,1.0948,1.1780166666666667,1.1595166666666668,1.1336666666666666,1.1550666666666667,1.1469333333333334,
