Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.8730812,0.7886076,0.8585366,0.8043202,0.789314,0.89683074,0.7965687,0.87749076,0.7997573,0.7289211
F1_kick,0.0,0.56,0.0,0.42857143,0.0,0.0,0.0,0.0,0.78260875,0.0
Classification_Accuracy,0.9179826,0.91808873,0.9149343,0.9228096,0.91248745,0.92627376,0.9172022,0.91836244,0.9168124,0.92487437
Global_F1,0.604489,0.7663515,0.59972477,0.72853214,0.578101,0.61339766,0.58156234,0.6057699,0.8443899,0.56186503
Recall_kick,0.0,0.4117647,0.0,0.375,0.0,0.0,0.0,0.0,0.85714287,0.0
Precision_dash,0.9151576,0.9319465,0.9237175,0.93734795,0.9236712,0.93027395,0.9292653,0.9242318,0.9351676,0.9390034
Recall_dash,0.96704465,0.969697,0.95818937,0.9685732,0.96731395,0.956824,0.96775216,0.9559408,0.9669719,0.9750223
Precision_kick,0.0,0.875,0.0,0.5,0.0,0.0,0.0,0.0,0.72,0.0
Recall_turn,0.8269504,0.7320799,0.825,0.75446963,0.72625697,0.8761528,0.7386364,0.8511095,0.74716556,0.6536585
F1_dash,0.94038594,0.950447,0.94063777,0.9527048,0.9449889,0.94336224,0.9481183,0.9398189,0.9508039,0.9566739
Precision_turn,0.92466295,0.85459536,0.8949153,0.8612245,0.8643617,0.9185083,0.8643617,0.9055598,0.8603133,0.82377046
