Performance Measure,Mean,Standard Deviation
F1_turn,0.8213428,0.052620158
F1_kick,0.17711802,0.29740396
Classification_Accuracy,0.9189828,0.004360926
Global_F1,0.6484183,0.0960227
Recall_kick,0.16439076,0.29337612
Precision_dash,0.92897826,0.007369717
Recall_dash,0.96533287,0.0062402515
Precision_kick,0.2095,0.348827
Recall_turn,0.773148,0.068839125
F1_dash,0.94679415,0.005834546
Precision_turn,0.8772273,0.032167815

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.216,0.142,0.163,0.058,0.053,0.052,0.052,0.055,0.051,0.053,
Test Time (Minutes),44.604866666666666,42.31028333333333,46.487883333333336,46.182116666666666,44.84551666666667,44.8467,44.60111666666667,45.87563333333333,44.95948333333333,45.320683333333335,
