Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.7101679,0.6869235,0.67392015,0.663112,0.5784114,0.7985689,0.7031477,0.68083817,0.6335878,0.62956315
F1_kick,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.086956516,0.0,0.0
Classification_Accuracy,0.78222954,0.85860556,0.76105136,0.82501864,0.73671013,0.86522657,0.83910036,0.7450323,0.7801649,0.8442211
Global_F1,0.5122648,0.53266424,0.5326553,0.51614124,0.4628153,0.5660787,0.53237844,0.51926357,0.49496517,0.51056
Recall_kick,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0
Precision_dash,0.880609,0.9295367,0.89154637,0.94895756,0.9240979,0.8626595,0.9504986,0.87703836,0.9413629,0.970548
Recall_dash,0.77888024,0.893321,0.74706286,0.82966685,0.7210356,0.93999267,0.84381914,0.718671,0.77697843,0.84269994
Precision_kick,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.083333336,0.0,0.0
Recall_turn,0.7950355,0.7438308,0.7984375,0.81525624,0.7932961,0.7351779,0.825,0.8024338,0.8469388,0.8552846
F1_dash,0.8266266,0.91106915,0.81293476,0.88531184,0.8100346,0.8996673,0.89398766,0.7899961,0.85130775,0.90211684
Precision_turn,0.6416714,0.63810486,0.58300054,0.5588235,0.4551282,0.87392324,0.6126582,0.5912447,0.50609756,0.49810606
