Performance Measure,Mean,Standard Deviation
F1_turn,0.7606982,0.030141532
F1_kick,0.009166667,0.009166667
Classification_Accuracy,0.8525816,0.03058672
Global_F1,0.55521774,0.015111864
Recall_kick,0.035555556,0.035555556
Precision_dash,0.87839985,0.0068398714
Recall_dash,0.9147153,0.043209553
Precision_kick,0.036036037,0.036036037
Recall_turn,0.7272648,0.011135817
F1_dash,0.8957885,0.024360657
Precision_turn,0.8002163,0.08273822

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.187,0.14,0.14,0.078,0.062,0.078,0.078,0.062,0.062,0.063,
Test Time (Minutes),0.9058666666666667,0.9872833333333333,0.99245,0.9826,0.9906666666666667,1.0176833333333333,0.9948,0.9158333333333334,0.88635,0.8977833333333334,
