Performance Measure,Mean,Standard Deviation
F1_turn,0.5008243,0.009005189
F1_kick,0.24691305,0.21462539
Classification_Accuracy,0.71730745,0.0020614266
Global_F1,0.5174016,0.0682258
Recall_kick,0.1777682,0.15556514
Precision_dash,0.8614936,0.008048773
Recall_dash,0.7560852,0.0030362606
Precision_kick,0.43698883,0.31301117
Recall_turn,0.6043743,0.022369742
F1_dash,0.8044673,9.4276667E-4
Precision_turn,0.43035334,0.004519999

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.204,0.158,0.063,0.075,0.06,0.061,0.055,0.056,0.061,0.06,
Test Time (Minutes),5.1573,5.37605,5.192033333333334,5.198433333333333,5.167816666666667,5.185483333333333,5.1805666666666665,5.203416666666667,5.244083333333333,5.170466666666667,
