Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4
F1_turn,0.8272841,0.8133428,0.8278481,0.8327452,0.7872196
F1_kick,0.7631579,0.45,0.4,0.59999996,0.34285715
Classification_Accuracy,0.9264362,0.9271592,0.9274489,0.9366658,0.91296345
Global_F1,0.8484197,0.7397551,0.72785896,0.798076,0.6922114
Recall_kick,0.64444447,0.3,0.3125,0.46153846,0.20689656
Precision_dash,0.914413,0.91612905,0.9157928,0.92668533,0.8985372
Recall_dash,0.9989573,0.99932975,0.9993065,0.9989953,1.0
Precision_kick,0.9354839,0.9,0.5555556,0.85714287,1.0
Recall_turn,0.7145946,0.69036144,0.7124183,0.7177616,0.6527621
F1_dash,0.9548173,0.9559224,0.9557287,0.9614827,0.9465574
Precision_turn,0.9821694,0.9896373,0.9879154,0.99159664,0.9914383
