Performance Measure,Mean,Standard Deviation
F1_turn,0.41977626,0.023054928
F1_kick,0.85011804,0.020849705
Classification_Accuracy,0.8268511,0.015388072
Global_F1,0.7226413,0.017974854
Recall_kick,0.82777774,0.07222223
Precision_dash,0.8152995,0.01628524
Recall_dash,0.9996575,3.424883E-4
Precision_kick,0.8813344,0.037584424
Recall_turn,0.26719114,0.017191142
F1_dash,0.89802957,0.010019898
Precision_turn,0.9801587,0.019841313

,Cycle0,Cycle1
Filter Time (Seconds),0.126,0.048,
Test Time (Minutes),0.5247166666666667,0.35891666666666666,
