Performance Measure,Mean,Standard Deviation
F1_turn,0.59835243,0.016679168
F1_kick,0.33760077,0.013276428
Classification_Accuracy,0.800554,0.020205677
Global_F1,0.60200655,0.005966544
Recall_kick,0.21111111,0.01111111
Precision_dash,0.8843194,0.009319425
Recall_dash,0.8563266,0.019343674
Precision_kick,0.8452381,0.011904776
Recall_turn,0.6385672,0.007215917
F1_dash,0.8700664,0.0144969225
Precision_turn,0.5631592,0.023916364

,Cycle0,Cycle1
Filter Time (Seconds),0.064,0.048,
Test Time (Minutes),2.070683333333333,1.95065,
