Performance Measure,Mean,Standard Deviation
F1_turn,0.34386998,0.016767174
F1_kick,0.7620513,0.0687179
Classification_Accuracy,0.72123873,0.015753984
Global_F1,0.6428607,0.021844864
Recall_kick,0.73888886,0.16111112
Precision_dash,0.8049582,0.010387182
Recall_dash,0.8411832,0.017060757
Precision_kick,0.81904763,0.047619045
Recall_turn,0.3189417,0.023761004
F1_dash,0.8226609,0.013583958
Precision_turn,0.37365934,0.0068928897

,Cycle0,Cycle1
Filter Time (Seconds),0.063,0.048,
Test Time (Minutes),2.1651833333333332,2.0406166666666667,
