Performance Measure,Mean,Standard Deviation
F1_turn,0.55636656,0.07188207
F1_kick,0.6018879,0.14811212
Classification_Accuracy,0.8268223,0.0025122762
Global_F1,0.6836313,0.07124746
Recall_kick,0.5755151,0.25781822
Precision_dash,0.8509408,0.033890665
Recall_dash,0.9445733,0.056623995
Precision_kick,0.67286766,0.0089505315
Recall_turn,0.4620112,0.15991274
F1_dash,0.8926395,0.0062518716
Precision_turn,0.81563693,0.18093371

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.771,0.528,0.402,0.348,0.308,0.278,0.245,0.219,0.178,0.15,
Test Time (Minutes),8.938216666666667,8.4292,7.750883333333333,6.3093,5.850783333333333,6.3631166666666665,5.941316666666666,5.473916666666667,5.0573,4.60225,
