Performance Measure,Mean,Standard Deviation
F1_turn,0.69315493,0.010384858
F1_kick,0.5376383,0.19406897
Classification_Accuracy,0.88884526,0.0025233626
Global_F1,0.7215581,0.068395436
Recall_kick,0.5479509,0.2853824
Precision_dash,0.87608254,0.0011703968
Recall_dash,0.99996644,3.3557415E-5
Precision_kick,0.5467166,0.105457366
Recall_turn,0.5335065,0.009773672
F1_dash,0.9338809,7.325411E-4
Precision_turn,0.99099815,0.0069097877

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.236,0.2,0.094,0.095,0.088,0.085,0.088,0.09,0.087,0.088,
Test Time (Minutes),17.523633333333333,17.410733333333333,17.446016666666665,17.409683333333334,17.498,17.44565,17.6249,17.4522,17.467066666666668,17.495233333333335,
