Performance Measure,Mean,Standard Deviation
F1_turn,0.27789438,0.020805508
F1_kick,0.59995025,0.11433548
Classification_Accuracy,0.7992115,0.008341014
Global_F1,0.58803856,0.029153049
Recall_kick,0.6588911,0.17444223
Precision_dash,0.79724973,0.0059111714
Recall_dash,0.9980981,0.006554723
Precision_kick,0.562142,0.062857985
Recall_turn,0.1650207,0.01289542
F1_dash,0.886271,0.0060708523
Precision_turn,0.9092391,0.07997084

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.74,0.447,0.357,0.323,0.289,0.251,0.227,0.189,0.173,0.137,
Test Time (Minutes),8.992933333333333,8.4194,7.966916666666667,7.479583333333333,6.9782,6.51375,6.089566666666666,5.6291166666666665,5.1987,4.69415,
