Performance Measure,Mean,Standard Deviation
F1_turn,0.27880907,0.012619466
F1_kick,0.5047643,0.095235705
Classification_Accuracy,0.802601,0.0029236674
Global_F1,0.55727524,0.035018563
Recall_kick,0.6362121,0.1971212
Precision_dash,0.8000208,0.0017277598
Recall_dash,0.9987137,0.0047356486
Precision_kick,0.42719132,0.041558683
Recall_turn,0.16459434,0.00966534
F1_dash,0.88825256,0.0027997494
Precision_turn,0.942513,0.0529781

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.183,0.156,0.142,0.061,0.055,0.054,0.065,0.055,0.054,0.066,
Test Time (Minutes),19.20285,19.032833333333333,18.996616666666668,18.9376,18.975933333333334,18.9903,19.029183333333332,19.009883333333335,19.022683333333333,19.049983333333333,
