Performance Measure,Mean,Standard Deviation
F1_turn,0.42177826,0.0016379356
F1_kick,0.8308327,0.040135026
Classification_Accuracy,0.6290487,0.0046661496
Global_F1,0.6591939,0.014624774
Recall_kick,0.82777774,0.07222223
Precision_dash,0.83938587,0.016855657
Recall_dash,0.63814217,0.0014129281
Precision_kick,0.8365091,0.0072408915
Recall_turn,0.5920319,0.021221101
F1_dash,0.7249706,0.0053773522
Precision_turn,0.3280215,0.008498579

,Cycle0,Cycle1
Filter Time (Seconds),0.103,0.061,
Test Time (Minutes),17.636733333333332,17.60086666666667,
