Performance Measure,Mean,Standard Deviation
F1_turn,0.39033216,0.0132392645
F1_kick,0.57917863,0.087488115
Classification_Accuracy,0.82126474,0.0011518002
Global_F1,0.62217045,0.033103645
Recall_kick,0.63815653,0.19517678
Precision_dash,0.8144814,2.784729E-4
Recall_dash,0.9984705,0.0034297705
Precision_kick,0.545197,0.010358572
Recall_turn,0.2461998,0.011203393
F1_dash,0.8970005,0.001416266
Precision_turn,0.95732546,0.023441136

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.262,0.258,0.115,0.113,0.116,0.112,0.12,0.112,0.114,0.114,
Test Time (Minutes),117.40506666666667,118.01898333333334,119.90653333333333,118.89516666666667,118.90068333333333,118.91618333333334,125.25871666666667,125.25386666666667,118.66521666666667,125.17216666666667,
