Performance Measure,Mean,Standard Deviation
F1_turn,0.43324494,0.018808603
F1_kick,0.0,0.0
Classification_Accuracy,0.6268744,0.0359267
Global_F1,0.40460914,0.037618816
Recall_kick,0.0,0.0
Precision_dash,0.7397275,0.0054324865
Recall_dash,0.7074481,0.06284028
Precision_kick,0.0,0.0
Recall_turn,0.45683813,0.014129609
F1_dash,0.72259074,0.0360561
Precision_turn,0.41469058,0.044668853

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.262,0.234,0.101,0.102,0.112,0.101,0.111,0.103,0.1,0.1,
Test Time (Minutes),707.03575,711.5559,708.6649,714.8717833333334,712.42605,717.0551666666667,716.1559166666667,716.7042333333334,715.7825666666666,725.7396166666666,
