Performance Measure,Mean,Standard Deviation
F1_turn,0.27867153,0.020221442
F1_kick,0.028368795,0.028368795
Classification_Accuracy,0.79842067,6.207824E-4
Global_F1,0.39750162,0.0037050247
Recall_kick,0.0148148155,0.0148148155
Precision_dash,0.7945412,0.004836917
Recall_dash,1.0,0.0
Precision_kick,0.33333334,0.33333334
Recall_turn,0.16545762,0.011012971
F1_dash,0.8854646,0.0029677153
Precision_turn,0.8832008,0.092702806

,Cycle0,Cycle1,Cycle2
Filter Time (Seconds),0.1,0.089,0.038,
Test Time (Minutes),0.7943333333333333,0.7720333333333333,0.7677666666666667,
