Performance Measure,Mean,Standard Deviation
F1_turn,0.39033216,0.0132392645
F1_kick,0.57917863,0.087488115
Classification_Accuracy,0.82126474,0.0011518002
Global_F1,0.62217045,0.033103645
Recall_kick,0.63815653,0.19517678
Precision_dash,0.8144814,2.784729E-4
Recall_dash,0.9984705,0.0034297705
Precision_kick,0.545197,0.010358572
Recall_turn,0.2461998,0.011203393
F1_dash,0.8970005,0.001416266
Precision_turn,0.95732546,0.023441136

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.287,0.256,0.244,0.123,0.113,0.111,0.117,0.12,0.121,0.122,
Test Time (Minutes),74.84128333333334,74.77461666666666,74.80181666666667,74.81121666666667,74.90553333333334,76.00088333333333,79.62501666666667,74.83163333333333,75.53333333333333,79.7274,
