Performance Measure,Mean,Standard Deviation
F1_turn,0.29333973,0.006401837
F1_kick,0.6408046,0.14080459
Classification_Accuracy,0.72565717,0.009774685
Global_F1,0.58791685,0.046285927
Recall_kick,0.5777778,0.1777778
Precision_dash,0.79248524,0.010586977
Recall_dash,0.87039757,0.005607784
Precision_kick,0.7380953,0.0714286
Recall_turn,0.24648973,0.0043210536
F1_dash,0.8296062,0.008348584
Precision_turn,0.36220282,0.010188818

,Cycle0,Cycle1
Filter Time (Seconds),0.079,0.048,
Test Time (Minutes),2.5364,1.9205166666666666,
