Performance Measure,Mean,Standard Deviation
Recall kick,0.26666668,0.26666668
Classification Accuracy,0.808372,0.063116014
Recall dash,0.8455446,0.039844155
F1 dash,0.87533236,0.043464363
Precision turn,0.5713737,0.0927338
Recall turn,0.71362424,0.12011069
Precision dash,0.9073085,0.047516227
Global F1,0.5853686,0.13143831
F1 turn,0.6346195,0.10469675
F1 kick,0.24615385,0.24615385
Precision kick,0.22857143,0.22857143

,Cycle0,Cycle1
Filter Time (Seconds),0.044,0.111,
Test Time (Minutes),0.4611166666666667,2.2711333333333332,
